,Accountable_Organization,Implementing_Organization,Award_Status,Award_Total_Estimated_Value,Award_Start_Date,Award_End_Date,Award_Transaction_Value,Award_Transaction_DAC_Purpose_Code,Award_Transaction_DAC_Purpose_Code_Name,Award_Transaction_US_Foreign_Assistance_Category,Year
4169,U.S. Agency for International Development,Vendor implementing direct administrative services,Completion,0.0,2016-10-01,2017-09-30,37296.9499999999,43010,Multisector aid,Program Management,2016
4170,U.S. Agency for International Development,United Nations Children's Fund,Completion,0.0,2012-10-01,2016-09-30,4443.31999999999,72010,Material relief assistance and services,Humanitarian Assistance,2012
4171,U.S. Agency for International Development,The vendor name has been redacted in accordance with the Principled Exceptions outlined in the Office of Management and Budget Bulletin 12-01.,Completion,14646494.0,2015-09-11,2017-09-30,1256805.0,72010,Material relief assistance and services,Humanitarian Assistance,2015
4172,U.S. Agency for International Development,Consortium for Elections and Political Process Strengthening,Implementation,7588492.0,2015-06-15,2018-06-19,511054.669999999,15110,Economic and development policy/planning,"Democracy, Human Rights, and Governance",2015
4173,U.S. Agency for International Development,Consortium for Elections and Political Process Strengthening,Implementation,7588492.0,2015-06-15,2018-06-19,98492.0,15220,"Civilian peace-building, conflict prevention and resolution",Peace and Security,2015
4174,U.S. Agency for International Development,The vendor name has been redacted in accordance with the Principled Exceptions outlined in the Office of Management and Budget Bulletin 12-01.,Completion,0.0,2012-06-28,2017-09-30,1065933.45,72040,Emergency food aid,Humanitarian Assistance,2012
4175,U.S. Agency for International Development,The vendor name has been redacted in accordance with the Principled Exceptions outlined in the Office of Management and Budget Bulletin 12-01.,Completion,24999532.0,2015-10-01,2017-09-30,6076468.91,72010,Material relief assistance and services,Humanitarian Assistance,2015
4176,U.S. Agency for International Development,Personal Services Contractors - USAID,Completion,0.0,2016-10-01,2017-09-30,15.1,15220,"Civilian peace-building, conflict prevention and resolution",Peace and Security,2016
4177,U.S. Agency for International Development,Vendor implementing direct administrative services,Completion,0.0,2013-10-01,2014-09-30,31559.1399999999,43010,Multisector aid,Program Management,2013
4178,U.S. Agency for International Development,The vendor name has been redacted in accordance with the Principled Exceptions outlined in the Office of Management and Budget Bulletin 12-01.,Implementation,0.0,2016-10-01,2018-09-30,13584.2999999999,15220,"Civilian peace-building, conflict prevention and resolution",Peace and Security,2016
4180,U.S. Agency for International Development,The vendor name has been redacted in accordance with the Principled Exceptions outlined in the Office of Management and Budget Bulletin 12-01.,Completion,0.0,2012-10-30,2017-09-30,630318.25,72010,Material relief assistance and services,Humanitarian Assistance,2012
4181,U.S. Agency for International Development,Personal Services Contractors - USAID,Implementation,0.0,2016-10-01,2018-09-30,454.449999999999,74010,Disaster prevention and preparedness,Humanitarian Assistance,2016
4182,U.S. Agency for International Development,United Nations Children's Fund,Implementation,25000000.0,2015-10-01,2018-09-30,8867080.08,72010,Material relief assistance and services,Humanitarian Assistance,2015
4183,U.S. Agency for International Development,The vendor name has been redacted in accordance with the Principled Exceptions outlined in the Office of Management and Budget Bulletin 12-01.,Completion,6338131.0,2015-05-27,2017-09-30,161400.13,72010,Material relief assistance and services,Humanitarian Assistance,2015
4184,U.S. Agency for International Development,Dexis Consulting Group,Implementation,0.0,2014-10-01,2018-09-30,1500000.0,15220,"Civilian peace-building, conflict prevention and resolution",Peace and Security,2014
4185,U.S. Agency for International Development,The vendor name has been redacted in accordance with the Principled Exceptions outlined in the Office of Management and Budget Bulletin 12-01.,Completion,23124985.0,2015-10-01,2017-09-30,6580544.58999999,72010,Material relief assistance and services,Humanitarian Assistance,2015
4186,U.S. Agency for International Development,Personal Services Contractors - USAID,Completion,0.0,2014-10-01,2016-09-30,45391.5899999999,72010,Material relief assistance and services,Humanitarian Assistance,2014
4187,U.S. Agency for International Development,The vendor name has been redacted in accordance with the Principled Exceptions outlined in the Office of Management and Budget Bulletin 12-01.,Implementation,3800000.0,2016-10-01,2018-09-30,520000.0,72050,Relief co-ordination; protection and support services,Humanitarian Assistance,2016
4188,U.S. Agency for International Development,The vendor name has been redacted in accordance with the Principled Exceptions outlined in the Office of Management and Budget Bulletin 12-01.,Completion,0.0,2013-10-01,2017-09-30,906000.0,72040,Emergency food aid,Humanitarian Assistance,2013
4189,U.S. Agency for International Development,Personal Services Contractors - USAID,Completion,0.0,2012-10-01,2014-09-30,2920.69999999999,72010,Material relief assistance and services,Humanitarian Assistance,2012
4190,U.S. Agency for International Development,Personal Services Contractors - USAID,Completion,0.0,2016-10-01,2017-09-30,3006.36999999999,74010,Disaster prevention and preparedness,Humanitarian Assistance,2016
4191,U.S. Agency for International Development,Première Urgence,Completion,3260000.0,2015-09-16,2017-09-30,15989.8099999999,72010,Material relief assistance and services,Humanitarian Assistance,2015
4192,U.S. Agency for International Development,The vendor name has been redacted in accordance with the Principled Exceptions outlined in the Office of Management and Budget Bulletin 12-01.,Completion,3151153.0,2013-09-15,2017-09-30,300047.0,72010,Material relief assistance and services,Humanitarian Assistance,2013
4193,U.S. Agency for International Development,Personal Services Contractors - USAID,Completion,0.0,2013-10-01,2015-09-30,1436.0,72010,Material relief assistance and services,Humanitarian Assistance,2013
4194,U.S. Agency for International Development,The vendor name has been redacted in accordance with the Principled Exceptions outlined in the Office of Management and Budget Bulletin 12-01.,Completion,0.0,2013-08-26,2016-09-30,2000000.0,72010,Material relief assistance and services,Humanitarian Assistance,2013
4195,U.S. Agency for International Development,Vendor implementing direct administrative services,Completion,0.0,2014-10-01,2015-09-30,33410.8099999999,43010,Multisector aid,Program Management,2014
4196,U.S. Agency for International Development,Personal Services Contractors - USAID,Completion,0.0,2016-10-01,2017-09-30,1056.59999999999,15220,"Civilian peace-building, conflict prevention and resolution",Peace and Security,2016
4197,U.S. Agency for International Development,Vendor implementing direct administrative services,Completion,0.0,2013-10-01,2014-09-30,66794.0899999999,43010,Multisector aid,Program Management,2013
4198,U.S. Agency for International Development,The vendor name has been redacted in accordance with the Principled Exceptions outlined in the Office of Management and Budget Bulletin 12-01.,Completion,0.0,2015-10-01,2016-09-30,15.1,72010,Material relief assistance and services,Humanitarian Assistance,2015
4199,U.S. Agency for International Development,The vendor name has been redacted in accordance with the Principled Exceptions outlined in the Office of Management and Budget Bulletin 12-01.,Completion,17409787.0,2015-09-30,2017-09-30,1652481.0,72010,Material relief assistance and services,Humanitarian Assistance,2015
4200,U.S. Agency for International Development,United Nations Population Fund,Completion,0.0,2012-10-01,2017-09-30,1250000.0,72050,Relief co-ordination; protection and support services,Humanitarian Assistance,2012
4201,U.S. Agency for International Development,"Training Resources Group, Inc.",Implementation,4716706.25,2013-10-01,2018-09-30,39098.0,43010,Multisector aid,Program Management,2013
4202,U.S. Agency for International Development,The vendor name has been redacted in accordance with the Principled Exceptions outlined in the Office of Management and Budget Bulletin 12-01.,Completion,0.0,2014-10-01,2017-09-30,15.0,72010,Material relief assistance and services,Humanitarian Assistance,2014
4203,U.S. Agency for International Development,Personal Services Contractors - USAID,Completion,0.0,2012-10-01,2017-09-30,12.1999999999999,72010,Material relief assistance and services,Humanitarian Assistance,2012
4204,U.S. Agency for International Development,Première Urgence,Completion,0.0,2013-08-26,2016-09-30,1749189.47,72010,Material relief assistance and services,Humanitarian Assistance,2013
4205,U.S. Agency for International Development,The vendor name has been redacted in accordance with the Principled Exceptions outlined in the Office of Management and Budget Bulletin 12-01.,Completion,0.0,2013-01-10,2017-09-30,10000217.0,72040,Emergency food aid,Humanitarian Assistance,2013
4206,U.S. Agency for International Development,Vendor implementing direct administrative services,Completion,0.0,2014-10-01,2015-09-30,7364.21,91010,Administrative costs,Program Management,2014
4207,U.S. Agency for International Development,Vendor implementing direct administrative services,Completion,0.0,2015-10-01,2016-09-30,75.0,91010,Administrative costs,Program Management,2015
4208,U.S. Agency for International Development,The vendor name has been redacted in accordance with the Principled Exceptions outlined in the Office of Management and Budget Bulletin 12-01.,Implementation,5500000.0,2015-10-01,2018-09-30,921000.0,72010,Material relief assistance and services,Humanitarian Assistance,2015
